"endTime","artistName","trackName","msPlayed","segPlayed","minPlayed","mesAño"
2019-01-16 01:47:00,"Nouvelle Vague","Dance With Me",4260,4.26,0.07,"enero 19"
2019-01-16 01:47:00,"Nouvelle Vague","In A Manner Of Speaking",237913,237.913,3.97,"enero 19"
2019-01-16 01:51:00,"Nouvelle Vague","In A Manner Of Speaking",237913,237.913,3.97,"enero 19"
2019-01-16 01:55:00,"Nouvelle Vague","Dance With Me",220312,220.312,3.67,"enero 19"
2019-01-16 01:58:00,"Nouvelle Vague","Love Will Tear Us Apart",197881,197.881,3.3,"enero 19"
2019-01-16 02:02:00,"Carla Bruni","Miss You - Nouvelle Vague Remix",238145,238.145,3.97,"enero 19"
2019-01-16 02:06:00,"Nouvelle Vague","Guns Of Brixton",246946,246.946,4.12,"enero 19"
2019-01-16 02:09:00,"Nouvelle Vague","I Wanna Be Sedated",7845,7.845,0.13,"enero 19"
2019-01-16 02:09:00,"Nouvelle Vague","I Wanna Be Sedated",1290,1.29,0.02,"enero 19"
2019-01-16 02:09:00,"Nouvelle Vague","This Is Not A Love Song",1843,1.843,0.03,"enero 19"
2019-01-16 02:09:00,"Nouvelle Vague","Ever Fallen In Love",1327,1.327,0.02,"enero 19"
2019-01-16 02:09:00,"Nouvelle Vague","Love Comes In Spurts",0,0,0,"enero 19"
2019-01-16 02:09:00,"Nouvelle Vague","Making Plans For Nigel",126224,126.224,2.1,"enero 19"
2019-01-16 02:09:00,"Nouvelle Vague","The Killing Moon",495,0.495,0.01,"enero 19"
2019-01-16 02:09:00,"Nouvelle Vague","I Could Be Happy",558,0.558,0.01,"enero 19"
2019-01-16 02:09:00,"Nouvelle Vague","Athol Brose",1064,1.064,0.02,"enero 19"
2019-01-16 02:09:00,"Nouvelle Vague","Blue Monday",664,0.664,0.01,"enero 19"
2019-01-18 01:19:00,"Nouvelle Vague","I Wanna Be Sedated",80769,80.769,1.35,"enero 19"
2019-01-18 01:29:00,"Nouvelle Vague","Dance With Me",0,0,0,"enero 19"
2019-01-18 01:29:00,"Nouvelle Vague","In A Manner Of Speaking",307227,307.227,5.12,"enero 19"
2019-01-18 01:38:00,"Kanye West","Ghost Town",485910,485.91,8.1,"enero 19"
2019-01-18 01:39:00,"Tyler, The Creator","PartyIsntOver/Campfire/Bimmer",62402,62.402,1.04,"enero 19"
2019-01-18 01:47:00,"Kanye West","Ghost Town",423965,423.965,7.07,"enero 19"
2019-01-18 01:54:00,"Tyler, The Creator","PartyIsntOver/Campfire/Bimmer",438440,438.44,7.31,"enero 19"
2019-01-18 01:55:00,"Travis Scott","Pornography",37054,37.054,0.62,"enero 19"
2019-01-18 01:57:00,"A$AP Ferg","Psycho",145295,145.295,2.42,"enero 19"
2019-01-18 01:59:00,"Mick Jenkins","Jazz",84950,84.95,1.42,"enero 19"
2019-01-18 02:02:00,"Rick Ross","Game Ain't Based On Sympathy",224706,224.706,3.75,"enero 19"
2019-01-18 02:11:00,"Kanye West","Runaway",547667,547.667,9.13,"enero 19"
2019-01-18 02:30:00,"Travis Scott","5% TINT",171083,171.083,2.85,"enero 19"
2019-01-18 12:54:00,"Arcade Fire","Neighborhood #1 (Tunnels)",1165,1.165,0.02,"enero 19"
2019-01-18 13:00:00,"Arcade Fire","Neon Bible",696,0.696,0.01,"enero 19"
2019-01-18 13:00:00,"Arcade Fire","Electric Blue",7058,7.058,0.12,"enero 19"
2019-01-18 13:00:00,"Arcade Fire","Put Your Money on Me",353223,353.223,5.89,"enero 19"
2019-01-18 13:06:00,"Arcade Fire","No Cars Go",343626,343.626,5.73,"enero 19"
2019-01-18 13:10:00,"Arcade Fire","Rococo",236752,236.752,3.95,"enero 19"
2019-01-18 13:12:00,"Arcade Fire","We Don't Deserve Love",142129,142.129,2.37,"enero 19"
2019-01-18 13:12:00,"Arcade Fire","We Used to Wait",1525,1.525,0.03,"enero 19"
2019-01-18 13:12:00,"Arcade Fire","Black Mirror",716,0.716,0.01,"enero 19"
2019-01-18 13:18:00,"Arcade Fire","Neighborhood #3 (Power Out)",312906,312.906,5.22,"enero 19"
2019-01-18 13:22:00,"Arcade Fire","Signs of Life",276597,276.597,4.61,"enero 19"
2019-01-18 13:24:00,"Arcade Fire","Modern Man",98687,98.687,1.64,"enero 19"
2019-01-18 13:30:00,"Arcade Fire","Wake Up",335333,335.333,5.59,"enero 19"
2019-01-18 13:33:00,"Arcade Fire","Chemistry",217665,217.665,3.63,"enero 19"
2019-01-18 13:37:00,"Arcade Fire","Keep the Car Running",209073,209.073,3.48,"enero 19"
2019-01-18 13:38:00,"Arcade Fire","Peter Pan",58499,58.499,0.97,"enero 19"
2019-01-18 14:32:00,"Arcade Fire","Rebellion (Lies)",0,0,0,"enero 19"
2019-01-18 14:32:00,"Arcade Fire","Everything Now",680,0.68,0.01,"enero 19"
2019-01-18 14:32:00,"Arcade Fire","My Body Is a Cage",36,0.036,0,"enero 19"
2019-01-18 14:32:00,"Arcade Fire","Sprawl II (Mountains Beyond Mountains)",1721,1.721,0.03,"enero 19"
2019-01-18 14:32:00,"Arcade Fire","Creature Comfort",600,0.6,0.01,"enero 19"
2019-01-18 14:36:00,"Arcade Fire","Ready to Start",255893,255.893,4.26,"enero 19"
2019-01-18 14:39:00,"Arcade Fire","Good God Damn",2426,2.426,0.04,"enero 19"
2019-01-18 14:39:00,"Arcade Fire","I Give You Power",129960,129.96,2.17,"enero 19"
2019-01-18 14:44:00,"Arcade Fire","The Suburbs",283415,283.415,4.72,"enero 19"
2019-01-18 14:48:00,"Arcade Fire","Neighborhood #1 (Tunnels)",288333,288.333,4.81,"enero 19"
2019-01-18 14:49:00,"Arcade Fire","No Cars Go",3072,3.072,0.05,"enero 19"
2019-01-18 14:49:00,"Arcade Fire","Neon Bible",3815,3.815,0.06,"enero 19"
2019-01-18 14:49:00,"Arcade Fire","Intervention",3325,3.325,0.06,"enero 19"
2019-01-18 14:49:00,"Arcade Fire","Electric Blue",1706,1.706,0.03,"enero 19"
2019-01-18 14:49:00,"Arcade Fire","Put Your Money on Me",0,0,0,"enero 19"
2019-01-18 14:49:00,"Arcade Fire","Rococo",24085,24.085,0.4,"enero 19"
2019-01-18 14:54:00,"Arcade Fire","Windowsill",256396,256.396,4.27,"enero 19"
2019-01-18 15:09:00,"Arcade Fire","Neon Bible",7439,7.439,0.12,"enero 19"
2019-01-19 15:46:00,"Arcade Fire","Neon Bible",17529,17.529,0.29,"enero 19"
2019-01-19 15:49:00,"Kanye West","Gold Digger",207541,207.541,3.46,"enero 19"
2019-01-19 15:49:00,"Kanye West","Hold My Liquor",5969,5.969,0.1,"enero 19"
2019-01-19 15:51:00,"Rihanna","FourFiveSeconds",2762,2.762,0.05,"enero 19"
2019-01-19 15:51:00,"Kanye West","Heartless",3076,3.076,0.05,"enero 19"
2019-01-19 15:51:00,"KIDS SEE GHOSTS","Kids See Ghosts",1533,1.533,0.03,"enero 19"
